model,mae,rmse,r2,pearson,fold,test_start,test_end,status
lstm,0.00388214208043305,0.004950426853814134,0.10845262360485308,0.3789515521821513,1,2016-01-01,2016-12-31,ok
lstm,0.004528884984710172,0.007188615783865983,0.051825625897133465,0.2397154954462734,2,2017-01-01,2017-12-31,ok
lstm,0.003486785278388649,0.004560323611046961,0.09427701565588664,0.4993766623885786,3,2018-01-01,2018-12-31,ok
lstm,0.00478241352644336,0.006648888579448609,-0.0479190453763505,0.2767820029842164,4,2019-01-01,2019-12-31,ok
lstm,0.004781621872534486,0.006143837015368448,0.11060924477350453,0.6509107061885259,5,2020-01-01,2020-12-31,ok
lstm,0.003696080999698252,0.004293618851147925,-0.4392375116285756,0.4042777172571291,6,2021-01-01,2021-12-31,ok
lstm,0.0033835637615784427,0.004149302313679233,-0.5832380488015136,0.01735460208290683,7,2022-01-01,2022-12-31,ok
lstm,0.004278923195510448,0.005273855479289197,-2.3623186498773054,-0.1946464227880421,8,2023-01-01,2023-12-31,ok
lstm,0.004235608135439028,0.006220681275626284,-0.4321284572934443,0.02762612244816071,9,2024-01-01,2024-12-31,ok
lstm,0.00428036187991633,0.007039547398323423,-3.9393119327196304,0.1565895895662363,10,2025-01-01,2025-12-31,ok
lstm,0.0033512619957953944,0.0045510845759683125,-0.6191968554913714,0.18144560218389041,11,2026-01-01,2026-12-31,ok
